"Good morning","Buenos días"
"Good afternoon","Buenas tardes"
"Good night","Buenas noches"
"How are you?","¿Cómo estás?"
"I’m fine, thanks","Estoy bien, gracias"
"What’s your name?","¿Cómo te llamas?"
"My name is...","Me llamo..."
"Nice to meet you","Mucho gusto"
"Where are you from?","¿De dónde eres?"
"I’m from...","Soy de..."
"How old are you?","¿Cuántos años tienes?"
"I’m ... years old","Tengo ... años"
"What time is it?","¿Qué hora es?"
"Where is the bathroom?","¿Dónde está el baño?"
"I don’t speak Spanish","No hablo español"
"Do you speak English?","¿Hablas inglés?"
"I don’t understand","No entiendo"
"Can you help me?","¿Puede ayudarme?"
"I need help","Necesito ayuda"
"What does this mean?","¿Qué significa esto?"
"Repeat, please","Repita, por favor"
"Slower, please","Más despacio, por favor"
"How much does it cost?","¿Cuánto cuesta?"
"Check, please","La cuenta, por favor"
"I’m hungry","Tengo hambre"
"I’m thirsty","Tengo sed"
"I’m tired","Estoy cansado/a"
"I’m lost","Estoy perdido/a"
"Where is the hotel?","¿Dónde está el hotel?"
"Where is the airport?","¿Dónde está el aeropuerto?"
"Where can I find a taxi?","¿Dónde puedo encontrar un taxi?"
"What is your phone number?","¿Cuál es tu número de teléfono?"
"Can I have the menu, please?","¿Puedo ver el menú, por favor?"
"I like it","Me gusta"
"I don’t like it","No me gusta"
"I love you","Te quiero"
"I miss you","Te extraño"
"See you later","Hasta luego"
"See you tomorrow","Hasta mañana"
"Take care","Cuídate"
"Have a good day","Que tengas un buen día"
"Happy birthday","Feliz cumpleaños"
"Congratulations","Felicidades"
"What happened?","¿Qué pasó?"
"Nothing","Nada"
"Everything is okay","Todo está bien"
"No problem","No hay problema"
"It’s okay","Está bien"
"I agree","Estoy de acuerdo"
"I don’t know","No sé"
